"regin_d","dstnc_b","developed","other_land","water","wetland","barren","land_total","wetland_share","barren_share","cbrs","sfha_land_share","padus_land_share","nbuild","total_nlcd_area_acre","buffer_500","buffer_1000","buffer_1500","buffer_2000","trt","nbuildings_acres","barrier","barrier_type","avg_sales_price_amount","total_land_assessed_value","total_improvement_assessed_value","total_assessed_value","avg_lot_size","avg_effective_year_built","avg_sqfeet","avg_bedrooms","total_assessed_value_per_acre","total_improvement_assessed_value_per_acre","total_land_assessed_value_per_acre","tot_nfip_area","tot_nfip_bldg","tot_policyCount_bldg_weighted","tot_claims_per_policy","tot_claims_per_1000_coverage","tot_claims_per_acre","tot_claims_per_bldg","tot_bldg_per_acre","white","black","hispanic","bagrad","median_hh_income","own_occupied","rent_occupied","occupied","median_rent","median_rent_inc_pct"
"01117",0,203,0,2279,197,43,240,0.820833333333333,0.179166666666667,0,99.8156372847298,0.0376054557426969,50,90.355044705883,1,0,0,0,0,0.553372533462368,0,NA,408640,0,0,985840,4.61875,1997.57142857143,7307.88888888889,3,10910.7355677708,0,0,1654347.29184036,50,32.0743494673266,48.3818892575251,67.4657678624327,3.79597789092584,31.036352478707,0.122307474550372,0.61169051522386,0.342990492405876,0.0181705846645618,0.167364110702954,47776.9093705569,0.512430860689164,0.321100506004963,0.833531366694128,870.111824265108,29.3064762014318
"01117",1000,836,307,1248,1130,28,1465,0.771331058020478,0.0191126279863481,0,91.4395214754115,0,291,506.105991000002,0,0,1,0,0,0.574978374440935,0,NA,180797.575757576,0,0,2556720,2.76566292134831,1997.41666666667,4783.53,2.953125,5051.74814261384,0,0,2043041.74042596,258,262.98989010989,51.0070303291649,85.036163431584,26.5706104697714,51.9935399267399,0.511036765475288,0.91665683823517,0.0528128126096954,0.0369048535149769,0.294978431125737,53534.4611963119,0.75468023196923,0.164943834403409,0.919624066372639,842,18.1
"01117",1500,889,488,1453,1185,64,1737,0.682210708117444,0.0368451352907311,0,64.8610851719695,0,121,573.578358988237,0,0,0,1,0,0.210956355141149,0,NA,110943.217948718,0,0,2009440,2.05791803278689,1998.67272727273,4925.79220779221,2.9811320754717,3503.3399857424,0,0,1641990.33707411,53,54.0250549450549,51.0070303291649,85.036163431584,6.79147863516142,51.9935399267399,0.130621585772594,0.907480637922404,0.0524331515974765,0.0521041945382444,0.266088454984885,66028.0858778534,0.675164823626749,0.22388106354345,0.8990458871702,842,18.1
"01117",500,749,179,1206,981,13,1173,0.836317135549872,0.0110826939471441,0,96.654712798197,0,338,412.875458047059,0,1,0,0,0,0.818648804166692,0,NA,374879.96875,0,0,5308480,3.01044186046512,2001.22058823529,6015.15238095238,3.32727272727273,12857.3396566355,0,0,1896483.98517104,308,313.956923076923,51.0070303291649,85.036163431584,34.1712293293005,51.9935399267399,0.65722067351922,0.916535574250164,0.0491196880046147,0.0432073994270374,0.275545128985417,54090.0339810427,0.697405118020973,0.210113049716359,0.907518167737333,842,18.1
"01208",0,1360,33,2133,357,739,1129,0.316209034543844,0.654561558901683,0,94.7460900883161,7.48212130248312,495,555.845745388236,1,0,0,0,0,0.890534836520629,0,NA,434986.891238671,0,0,138429300,13.25,1993.57249626308,5125.69964912281,2.61376811594203,249042.654636697,0,0,3312676.4152192,476,1585.87901277751,1299.15220897845,31.1533853641671,2516.86981022249,4328.35761055141,0.581483795166791,0.967361278096341,0.00242916485491181,0,0.463423781576257,96368.789751472,0.141142220741995,0.0254438758927241,0.166586096634719,1372.25444654677,22.49462665209
"01208",1000,855,422,3307,1288,304,2014,0.639523336643495,0.150943396226415,0,52.0128493573456,25.263183758854,245,634.58458507059,0,0,1,0,0,0.386079343501145,0,NA,360256.507972665,0,0,55070380,4.8135,1991.06529850746,5194.40145985401,2.76647834274953,86781.7802316678,0,0,1728790.01239637,89,3346.41332077994,618.115446688472,42.3442782688004,4841.90887236534,23241.2333098668,0.208332699380018,0.976888070857711,0.00105235459672469,0.00249190491604862,0.329184872909695,81424.6399842898,0.262367222207851,0.0984861418283812,0.360853364036232,1186.19472633128,24.7091106701648
"01208",1500,1174,586,3702,1076,173,1835,0.586376021798365,0.0942779291553134,0,35.497772975008,31.4775710170359,353,660.290420858826,0,0,0,1,0,0.534613238127641,0,NA,244834.385083714,0,0,57911500,5.35083333333333,1991.50621669627,5156.94357366771,2.78150134048257,87706.1035122632,0,0,1300515.94741482,88,2762.88003110494,631.198718289435,41.7512590099239,5426.52906037921,19817.3447093286,0.273827252842041,0.976010783243036,0.00162487927518536,0.0038715550992487,0.372352104916571,89021.0870590719,0.276565126021747,0.124644153801655,0.401209279823402,1386.66996976799,24.9766740673895
"01208",500,1094,145,2883,803,540,1488,0.539650537634409,0.362903225806452,0,81.5635856477962,18.0540800523724,387,560.045161800003,0,1,0,0,0,0.691015700869855,0,NA,422490.031192661,0,0,66658680,3.6225,1999.48031496063,12410.1930434783,3.14990138067061,119023.758344339,0,0,2726662.36951054,312,3062.5184266676,805.535305252609,36.5215190470185,3661.35302119287,7906.94460149815,0.463055352695799,0.970371324132565,0.00164514065212322,0,0.51277628358171,101142.356592046,0.156145473682328,0.0198778585927819,0.17602333227511,1348.68496995777,21.475691178368
"01219",0,3894,604,3162,1180,76,1860,0.634408602150538,0.0408602150537634,0,41.6089362616928,2.47088806949744,1915,1235.47964632941,1,0,0,0,0,1.55000530011921,0,NA,73336.8113057325,0,0,15089240,1.12140992167102,1992.74752475248,3166.65732959851,2.99602385685885,12213.2647387837,0,0,3678289.01128578,761,391.446451538652,42.4031555675947,42.2114699867785,18.2614125270813,21.8115174520057,0.837237141673609,0.496731266148611,0.434948544916245,0.0139136502673402,0.177493756200176,46658.0546882258,0.635070332872778,0.229024161711425,0.864094494584203,1044.69112057239,38.0391395443442
"01219",1000,2404,876,3853,1921,54,2851,0.673798667134339,0.01894072255349,0,42.1025417077106,1.49617547796109,702,1148.61234123529,0,0,1,0,0,0.611172259602422,0,NA,138909.345864662,0,0,13925620,1.26012332439678,1994.37857142857,4312.42334494774,2.97142857142857,12123.8641620579,0,0,2747177.24141239,164,336.179035939905,214.273333629631,102.945446610489,106.111328795536,439.232943458774,0.241583265499063,0.641521321240006,0.314683825566165,0.0156432677999684,0.208966697678414,48558.6751212507,0.641850769092173,0.240147438854482,0.881998207946655,965.833412323309,28.7367991888612
