"region_id","synth_weight","synth_weight_ztrax"
"10368",0.113932379205088,NA
"10501",0.508657657201208,NA
"10584",1.38050558343502,NA
"10713",0.37813280955746,0
"10859",0.0318650872856278,0
"10928",0.422187754750646,NA
"10963",0,0
"121418",0,0
"121530",0,0
"121664",0.214266227920875,0
"121736",0,0
"121819",0.215084413588217,0
"121845",0.227886555491125,NA
"121978",0.840404892269391,2.36038865017357
"122001",0,NA
"122018",0.44484996084015,0
"122070",0.132815041153035,NA
"122143",0,0
"122196",0,0
"122241",0.309348852792438,0
"122327",0,0
"122334",1.07054625653362,NA
"122363",0,0
"122371",0.720873807879506,4.06252660793661
"122403",0,0
"122416",0.440685844496465,1.10062217031053
"122534",0,0
"122574",0.503855382713846,NA
"122618",0.125318737511383,0.369145392542193
"122650",0,0
"122692",0.186649555189582,0
"122713",0,0
"122721",0.499081635432641,0.0258391973559871
"122867",0,0
"122893",0,0
"122903",0.764359150232749,0.516498124107387
"122917",0,0
"122961",0,0
"122962",0,0
"122973",0.352482890458229,NA
"123019",0.700622473188366,NA
"123021",0,0
"123024",0.444176051094154,0
"123055",0,NA
"123076",0,0
"123084",0.959079536048737,NA
"123100",0.674561860742622,0
"123125",0,0
"123153",1.12722339396121,NA
"123184",0,0
"123232",0,0
"123243",0.664733350606162,NA
"123269",0.242063762929343,0
"123289",0,0
"123339",0,0
"123350",0.692978158366808,0
"123363",0.894476028929408,2.50635959299184
"123382",0.321411715744273,0
"123391",0.735038952847488,0.874958265616603
"123396",2.18521905164676,NA
"123397",0.385285810573111,NA
"123427",0.957316844896793,NA
"123453",0.530475196366268,0
"123464",0.122761586068338,0
"123480",0.427868596571022,0
"123483",1.03721586652405,1.93451887795994
"123544",3.23640346795529,1.46394396225639
"123560",0,0
"123630",0.191778138256963,NA
"123633",0,NA
"123635",0.339725816635098,0.588784591536641
"12394",0,0
"124237",0,0
"125543",0.754897073769838,NA
"125553",0,0
"125788",0,0
"125846",0.54126891035708,0
"125872",0.350370786261081,0
"125883",0,0
"12607",1.31207872777905,NA
"126240",0,NA
"126300",0,0
"126377",0.22701489261953,0
"126487",1.35055253096099,3.84673259532589
"126546",0,0
"126764",0,0
"126773",0.299150601736761,NA
"126816",0,0
"126837",0.447480182804778,NA
"126843",0.32333344622122,NA
"126860",0.0396952898382308,NA
"126861",0,0
"126887",0.651606107002454,NA
"126918",0,0
"127022",1.31033045575397,2.56950354374184
"127090",0,0
"131241",2.2357281380679,NA
"131829",1.83648777785243,NA
"132065",2.88771085077754,NA
"134741",1.67803754629912,NA
"134852",1.20067886803067,NA
"136250",1.42852102671605,NA
"136438",1.08791618790863,NA
"13970",0.651290030432518,NA
"2211807",0.923490941454936,NA
"2218789",0.916524749545065,NA
"2219707",0.110760087154426,NA
"2219824",0.77563644899541,NA
"2222603",0.664046421525152,NA
"2225012",0.941824211416968,NA
"2225292",0.905348493020355,NA
"2225509",1.08473079848967,NA
"2229889",0.344008370656459,NA
"2230734",1.27809712265921,NA
"2230840",0.792758181761174,NA
"226673",1.11960625490376,NA
"229893",0.244548850236088,NA
"231008",0.0215851876865403,NA
"2310182",0,NA
"231025",0.16515987626874,NA
"2310320",0.189612518507296,NA
"231037",0,NA
"231040",0.00854236685239488,NA
"231042",0.034888825762919,NA
"2310585",0.244334735495893,NA
"2310680",0.0815677207277419,NA
"2310756",0.109097351333341,NA
"2310919",0.290030414185267,NA
"231095",0.0414533212265371,NA
"2311028",0,NA
"2311087",0.230349264162869,NA
"2311112",0.243576609358104,NA
"2311153",0.515270151924986,NA
"2311282",0.413286698842718,NA
"2311475",0.00222379146614485,NA
"2311500",0,NA
"2311512",0.160153352286991,NA
"2311537",1.1286412641061,NA
"2311653",0.468434769030966,NA
"2311706",0.983957395530376,NA
"2312102",0,NA
"2312177",0.240133878418295,NA
"2312284",0,NA
"2312367",0.794415351028084,NA
"2312447",0.00180799222387313,NA
"231249",0,NA
"2312618",0.0704892881018432,NA
"2312661",1.15763040798482,NA
"2312676",0,NA
"231284",0.0279797879628385,NA
"2313084",0,NA
"2313088",0,NA
"2313176",0.162202381054246,NA
"231322",0,NA
"2313370",0,NA
"2313584",0.51669269367786,NA
"2313653",1.0194169625836,NA
"2313671",0,NA
"2313683",0,NA
"2313835",0,NA
"2313956",0.299613885117592,NA
"2314039",0.50173123583004,NA
"2314181",0.155843321296154,NA
"2314411",0.191057188079229,NA
"2314940",0,NA
"2314996",0.18414779764355,NA
"2315019",0.508925892930801,NA
"2315289",0.167124959097728,NA
"2315447",0.632331246503166,NA
"2315592",0.253784302164957,NA
"2315714",0.505781045783053,NA
"2315770",0.0778065494352206,NA
"2315778",0.175467792956068,NA
