"region_id","year","bufa","bufa_share","spillover_bufa_share","treated","CBRS_unit","wetland","barren","treecvr","elevatn","pre1982_SUM","urban_population_mean","med_hhincome_p","A_all_share","V_all_share","region_NorthAtlantic","region_SouthAtlantic","region_GulfCoast"
"10368","1950",0,0,0,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","1960",0,0,0.00248017502574384,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","1970",0,0,0.00399990407892403,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","1980",0,0,0.0112721241296163,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","1990",10.9760431992852,0.0175616691188563,0.124551875894079,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","2000",66.7268438033093,0.106762950085295,0.50141588046681,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10368","2010",163.824562278789,0.262119299646062,0.872913002597325,FALSE,0,0.254999998336037,0,0.669999991854032,3.39396016187224,2,0,20382,0.355978034162906,0.264587648817887,1,0,0
"10501","1950",0,0,0.00937449352700909,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","1960",0,0,0.0109593955470325,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","1970",0,0,0.0109865035081913,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","1980",0,0,0.0144554235651049,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","1990",0,0,0.0161270383698446,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","2000",0,0,0.0167266573696278,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10501","2010",1.65527949233418,0.00264844718773469,0.0216943045180323,FALSE,0,0.95203539966482,0.000265486719729637,0.00212389374135342,-0.22700000599414,0,1180872.13274336,35247.3562009122,0.553136761921272,0.0477953267239,1,0,0
"10584","1950",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","1960",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","1970",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","1980",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","1990",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","2000",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10584","2010",0,0,0,FALSE,0,0.587999999523163,0,0,0,0,1502989,38958,0.015578076606213,0.984422411721979,1,0,0
"10713","1950",2.70118523563405,0.00432189637701448,0.00672243180104205,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","1960",4.71894344546843,0.00755030951274949,0.00713931662931974,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","1970",4.71894344546843,0.00755030951274949,0.00713931662931974,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","1980",5.63817305647858,0.00902107689036573,0.00751178078316525,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","1990",6.11488076365769,0.0097838092218523,0.0087607832200543,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","2000",6.18483408928803,0.00989573454286085,0.0147084610083776,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10713","2010",6.23488689986836,0.00997581903978938,0.0149202328470693,FALSE,0,0.941730772073452,0.00128205125339521,0.00423076923172443,-0.0250142144398968,2,1109905.98076923,38958,0.772738624642038,0.223546299685319,1,0,0
"10859","1950",29.6836132884014,0.0474937812614422,0.0772645734859339,FALSE,0,0.144210527013791,0.00526315777709611,0.00105263155541921,-0.294954331618705,32,0,27601.7217198157,0.355322640948901,0.103609971364382,1,0,0
