"n_buildings_acre","TotalAssessedValue_acre","LandAssessedValue_acre","ImprovementAssessedValue_acre","white_acs","black_acs","med_hh_inc_acs","occupied_acs","med_rent_inc_pct_acs","mean_price","LotSizeAcres_MEAN","sqfeet_MEAN","TotalBedrooms_MEAN","in_cbrs","barrier","region_id"
0.0487122659286366,3197.2498388086,258.401671703899,2938.8481671047,0.981764679788769,0.00100017288594338,80349.4170973253,0.616454937255611,29.5,NA,1.3144,3061.5,3.75,0,0,"10368"
9.94804382288819e-05,0,0,0,0.917745332335258,0.041282162638507,53768.1762543728,0.885916985685697,43.516329143096,NA,NA,NA,NA,0,0,"10501"
0,0,0,0,0.954621848739496,0,49655,0.860335195530726,41.6,NA,NA,NA,NA,0,0,"10584"
0.000720595447648247,134.04009951464,103.66996012862,30.3701393860205,0.954621848739496,0,49655,0.860335195530726,41.6,3900000,758.43,2869,4.5,0,0,"10713"
0.107679706949442,50401.7368231996,8455.75443517191,41945.9823880277,0.929357022514269,0.00504658490005852,88075.7599914421,0.426818337603116,31.1894849956863,375079.243243243,2.03425263157895,1773.68918918919,2.62264150943396,0,0,"10859"
0,0,0,0,0.785006152774793,0.131066762112134,151363.898527878,0.932903401896593,NA,NA,NA,NA,NA,0,0,"10928"
0.264973069439275,87773.4188753434,14738.4379503741,73034.9809249693,0.974791879382303,0,47416.1273608798,0.313735867675232,38.15,549927.64516129,1.25426373626374,2455.515625,3.68421052631579,0,0,"10963"
0.0672154107774809,0,0,0,0.502752839635756,0.449440423586647,42504.5199697836,0.820447555200041,36.3693388653713,163999.8,NA,NA,NA,0,0,"1117"
0.246059172473584,0,0,0,0.981541968540308,0,96245.2173471792,0.137579509520563,19.6,NA,NA,NA,NA,0,0,"1208"
0.4496517308,228541.22391537,0,0,1,0,55656,0.319520174482007,NA,178638.888888889,0.253026315789474,3412.37931034483,NA,0,0,"121418"
0.218402026269729,90101.5472087373,0,0,0.982698961937716,0.00576701268742791,65000,0.374295377677565,22.5,212991.666666667,0.316541666666667,2345.54545454545,NA,0,0,"121530"
0.18735479888752,460445.464577447,0,0,0.976595074370409,0.00962542348387248,58633.0867637521,0.836495863077037,46.7405049045366,620664.666666667,0.316404761904762,5324.27380952381,NA,0,0,"121664"
0.625424476905292,392400.887680661,0,0,0.870414369075903,0.0120640820547749,52955.3040321202,0.881639441634451,37.9481182910033,335363.757575758,0.583848484848485,4376.78571428571,3.5327868852459,0,0,"121736"
0.0382203836771039,9667.4929543696,0,0,0.985709451903273,0.00412402202265342,43455.8017425782,0.217470787087835,22.5,177875,0.2777,2588.9,NA,0,0,"121819"
0.0122632224536084,0,0,0,0.986842105263158,0,128869,0.254217568353694,14.4,NA,NA,NA,NA,0,0,"121845"
0.414573050204351,0,0,0,0.363555642393395,0.567179392062856,45954.5505971395,0.844034031635473,45.4351341798251,72182.905982906,NA,NA,NA,0,0,"1219"
0.0883797894077629,15874.7112176561,0,0,0.985645933014354,0.0143540669856459,108661,0.46551724137931,NA,203668.75,1.54455357142857,3404.16666666667,2.52083333333333,0,0,"121978"
0.00642359232985204,0,0,0,0.639414802065404,0.261044176706827,75847,0.900195694716243,24.5,671000,NA,NA,NA,0,0,"1220"
0.00132250453053545,0,0,0,0.808270676691729,0.075187969924812,78333,0.776978417266187,43,NA,NA,NA,NA,0,0,"122001"
0.0254802489644848,10053.5244867599,0,0,0.564077409020669,0.308567083616669,39604.4918224373,0.537639627559438,24.5576145290324,181304.391304348,1.18,3277.91666666667,2.77777777777778,0,0,"122018"
0,0,0,0,0.800756620428752,0.0504413619167718,69417,0.343888070692194,31.7,NA,NA,NA,NA,0,0,"122070"
0.338561110836812,43654.3820744914,0,0,0.836274657499085,0.0372257163073912,45309.1122836883,0.695451197789699,28.7324705250086,81615.3846153846,4.14393939393939,2629.57142857143,2.56666666666667,0,0,"122143"
0.221759981293882,541623.622897822,0,0,0.680454538948733,0.14706865633918,56807.5608270032,0.830061755523106,32.299325708104,452818.653846154,0.504255952380952,4346.22360248447,3.52173913043478,0,0,"122196"
0.115345329858364,50427.1038843636,0,0,0.968468752229325,0.0150537685552025,90877.9817221765,0.522690988381686,NA,237136.666666667,0.659707070707071,3345.10843373494,2.4625,0,0,"122241"
0.461610337764379,0,0,0,0.974650709838199,0,93342.8574717207,0.161753292802802,25.7291584085105,607000,NA,NA,NA,0,0,"1223"
0.110683490668929,42696.9841631872,0,0,0.999996663093854,1.66845307278444e-06,46664.9347974108,0.533019555184462,23.349066624442,189339.550724638,2.74169230769231,1424.01234567901,2.2962962962963,0,0,"122327"
0,0,0,0,0.929268292682927,0.0642276422764228,33004,0.782537067545305,21.8,NA,NA,NA,NA,0,0,"122334"
0.0457359904767334,19271.210415696,0,0,0.925071736205158,0.0392986619187428,55871.9590569893,0.695552476851717,31.8623627882805,200235.905882353,0.948124590163934,1753.97552447552,2.40284360189573,0,0,"122363"
0.0181438344265013,2785.00314516212,0,0,0.91563108884784,0.0843689111521601,33188.1280704572,0.637279178114097,51,339781.818181818,11.0677894736842,4954.64285714286,2.58333333333333,0,0,"122371"
0.203526543667704,1858626.54656226,0,0,0.803448978533173,0.0231671957241239,63446.6479480032,0.772406821045589,30.2894013268369,286642.857142857,1.53078260869565,2324.33123028391,NA,0,0,"122403"
0.0238877370475694,5855.1060251366,0,0,0.912188548648318,0.0560612315347347,52093.2038554898,0.8004716791153,30.3393157415457,190368.666666667,2.6675,3134.42857142857,3,0,0,"122416"
