"V1","V2","V3","V4","year","treat_bufa","control_bufa","difference"
NA,NA,NA,NA,1960,0.0277185966353213,0.0277185966353213,-4.85722573273506e-17
NA,NA,NA,NA,1970,0.033159310036043,0.033159310036043,-6.93889390390723e-18
NA,NA,NA,NA,1980,0.0410907590788045,0.0410907590788046,-4.16333634234434e-17
NA,NA,NA,NA,1990,0.0760803197879826,0.0811387635164577,-0.00505844372847511
NA,NA,NA,NA,2000,0.129964727997954,0.176808708988061,-0.0468439809901073
NA,NA,NA,NA,2010,0.173687292856767,0.288096207279503,-0.114408914422736
